dataset,model,model_id,num_experts,variant,prob_expert,unc_gating,features,seq_len,label_len,pred_len,seed,method,coverage,width,median_width,q_mean,alpha,window_size,window_source,retrains,unbounded,mse,mae,n_runs_seen,coverage_min,coverage_max,width_min,width_max,rerun_disagrees,d_model,n_heads,e_layers,d_layers,d_ff,expand,d_conv,factor,embed,distil,des,itr,method_params,source,all_sources,setting
ETTh1,DLinear,cqr,3,MOE,0,0,M,96,48,96,4021,cqr_quantile,0.8862,3.3468,,0.5598,0.1,,unknown - run cannot be dated,,,1.175021,0.807432,1,0.8862,0.8862,3.3468,3.3468,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,"CQR Quantile alpha=0.1, Delayed Update",result_calibration_cqr_quantile.txt,result_calibration_cqr_quantile.txt,long_term_forecast_cqr_DLinear_ETTh1_ne3_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,cqr,3,MOE,0,0,M,96,48,96,4021,cqr_retrain,0.9015,2.5784,,0.3538,0.1,1000,recorded in the run output,29,,1.175021,0.807432,2,0.9015,0.9015,2.5784,2.5784,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,"Retrained CQR alpha=0.1, mode=finetune, window=1000, interval=96, epochs=3",result_calibration_cqr_retrain.txt,logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_cqr_retrain.txt,long_term_forecast_cqr_DLinear_ETTh1_ne3_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,3,MOE,0,0,M,96,48,96,4021,standard_cp,0.9034,1.9307,,0.9653,0.1,1000,"code, run dated after 2026-01-22",,,0.378683,0.398678,4,0.9032,0.9061,1.9307,1.9447,1,512,8,2,1,2048,2,4,1,timeF,True,test,0,Standard CP with Sliding Window,result_calibration_mse_cp.txt,logs/all_ett7.log;logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_mse_cp.txt,long_term_forecast_test_DLinear_ETTh1_ne3_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,3,MOE,0,0,M,96,48,96,4022,standard_cp,0.9066,1.9461,,0.9730,0.1,1000,"code, run dated after 2026-01-22",,,0.378178,0.400633,1,0.9066,0.9066,1.9461,1.9461,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Standard CP,logs/all_ett7.log,logs/all_ett7.log,long_term_forecast_test_DLinear_ETTh1_ne3_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4022
ETTh1,DLinear,test,3,MOE,0,0,M,96,48,96,4023,standard_cp,0.9059,1.9408,,0.9704,0.1,1000,"code, run dated after 2026-01-22",,,0.378447,0.400805,2,0.9059,0.9059,1.9408,1.9408,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Standard CP,logs/all_ett9.log,logs/all_ett7.log;logs/all_ett9.log,long_term_forecast_test_DLinear_ETTh1_ne3_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4023
ETTh1,DLinear,test,3,MOE,0,0,M,96,48,96,4024,standard_cp,0.9064,1.9568,,0.9784,0.1,1000,"code, run dated after 2026-01-22",,,0.381765,0.400271,2,0.9064,0.9064,1.9568,1.9568,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Standard CP,logs/all_ett8.log,logs/all_ett7.log;logs/all_ett8.log,long_term_forecast_test_DLinear_ETTh1_ne3_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4024
ETTh1,DLinear,test,3,MOE,0,0,M,96,48,96,4025,standard_cp,0.9057,1.9476,,0.9738,0.1,1000,"code, run dated after 2026-01-22",,,0.380077,0.401244,2,0.9057,0.9057,1.9476,1.9476,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Standard CP,logs/all_ett8.log,logs/all_ett7.log;logs/all_ett8.log,long_term_forecast_test_DLinear_ETTh1_ne3_pe0_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4025
ETTh1,DLinear,test,3,MOG,1,0,M,96,48,96,4021,adaptive_window_cp,0.8820,1.6957,,2.5636,0.1,n/a,calibrator has no sliding window,,,0.385756,0.396269,2,0.8820,0.8820,1.6957,1.6957,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Adaptive Window CP Delayed,result_calibration_adaptive_window_tsf.txt,logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_adaptive_window_tsf.txt,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,3,MOG,1,0,M,96,48,96,4021,aleatoric_only,0.9007,1.7187,,2.5208,0.1,1000,"code, run dated after 2026-01-22",,,0.385756,0.396269,2,0.9007,0.9007,1.7187,1.7187,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Aleatoric Only CP Delayed,result_calibration_aleatoric_only.txt,logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_aleatoric_only.txt,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,3,MOG,1,0,M,96,48,96,4021,cp_aleatoric_scale,0.9008,1.7188,,2.5189,0.1,1000,"code, run dated after 2026-01-22",,,0.385756,0.396269,3,0.9008,0.9008,1.7188,1.7188,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Aleatoric Scale CP Delayed,result_calibration_aleatoric_scale_tsf.txt,logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_aleatoric_scale_tsf.txt,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,3,MOG,1,0,M,96,48,96,4021,cpvs,0.9008,1.7187,,1.5063,0.1,1000,"code, run dated after 2026-01-22",,,0.385756,0.396269,3,0.9008,0.9019,1.7187,1.7353,1,512,8,2,1,2048,2,4,1,timeF,True,test,0,Adaptive CPVS Delayed,result_calibration_cpvs.txt,logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_cpvs.txt,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,3,MOG,1,0,M,96,48,96,4021,standard_cp,0.9026,1.9418,,0.9709,0.1,1000,"code, run dated after 2026-01-22",,,0.385756,0.396269,3,0.9021,0.9026,1.9418,1.9474,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Standard CP with Sliding Window,result_calibration_mse_cp.txt,logs/run_tsf_ett_backbones_gpu1_20260806_163120.log;result_calibration_mse_cp.txt,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,3,MOG,1,0,M,96,48,96,4022,aleatoric_only,0.9071,1.7740,,2.7163,0.1,1000,"code, run dated after 2026-01-22",,,0.387543,0.397013,1,0.9071,0.9071,1.7740,1.7740,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Aleatoric Only CP,logs/all_ett7.log,logs/all_ett7.log,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4022
ETTh1,DLinear,test,3,MOG,1,0,M,96,48,96,4022,cpvs,0.9066,1.7676,,1.5635,0.1,1000,"code, run dated after 2026-01-22",,,0.387543,0.397013,1,0.9066,0.9066,1.7676,1.7676,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Adaptive CPVS (Delayed),logs/all_ett7.log,logs/all_ett7.log,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4022
ETTh1,DLinear,test,3,MOG,1,0,M,96,48,96,4022,standard_cp,0.9063,1.9735,,0.9867,0.1,1000,"code, run dated after 2026-01-22",,,0.387543,0.397013,1,0.9063,0.9063,1.9735,1.9735,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Standard CP,logs/all_ett7.log,logs/all_ett7.log,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4022
ETTh1,DLinear,test,3,MOG,1,0,M,96,48,96,4023,aleatoric_only,0.9063,1.7882,,2.4834,0.1,1000,"code, run dated after 2026-01-22",,,0.389724,0.401898,1,0.9063,0.9063,1.7882,1.7882,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Aleatoric Only CP,logs/all_ett7.log,logs/all_ett7.log,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4023
ETTh1,DLinear,test,3,MOG,1,0,M,96,48,96,4023,cpvs,0.9068,1.7855,,1.4864,0.1,1000,"code, run dated after 2026-01-22",,,0.389724,0.401898,2,0.9068,0.9068,1.7855,1.7855,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Adaptive CPVS (Delayed),logs/all_ett9.log,logs/all_ett7.log;logs/all_ett9.log,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4023
ETTh1,DLinear,test,3,MOG,1,0,M,96,48,96,4023,standard_cp,0.9063,1.9714,,0.9857,0.1,1000,"code, run dated after 2026-01-22",,,0.389724,0.401898,1,0.9063,0.9063,1.9714,1.9714,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Standard CP,logs/all_ett7.log,logs/all_ett7.log,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4023
ETTh1,DLinear,test,3,MOG,1,0,M,96,48,96,4024,aleatoric_only,0.9057,1.8348,,2.3189,0.1,1000,"code, run dated after 2026-01-22",,,0.399824,0.414233,2,0.9057,0.9057,1.8348,1.8348,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Aleatoric Only CP,logs/all_ett8.log,logs/all_ett7.log;logs/all_ett8.log,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4024
ETTh1,DLinear,test,3,MOG,1,0,M,96,48,96,4024,cpvs,0.9054,1.8239,,1.4194,0.1,1000,"code, run dated after 2026-01-22",,,0.399824,0.414233,2,0.9054,0.9054,1.8239,1.8239,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Adaptive CPVS (Delayed),logs/all_ett8.log,logs/all_ett7.log;logs/all_ett8.log,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4024
ETTh1,DLinear,test,3,MOG,1,0,M,96,48,96,4024,standard_cp,0.9052,1.9747,,0.9874,0.1,1000,"code, run dated after 2026-01-22",,,0.399824,0.414233,2,0.9052,0.9052,1.9747,1.9747,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Standard CP,logs/all_ett8.log,logs/all_ett7.log;logs/all_ett8.log,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4024
ETTh1,DLinear,test,3,MOG,1,0,M,96,48,96,4025,cpvs,0.9057,1.7706,,1.4782,0.1,1000,"code, run dated after 2026-01-22",,,0.388860,0.399669,1,0.9057,0.9057,1.7706,1.7706,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Adaptive CPVS (Delayed),logs/all_ett20.log,logs/all_ett20.log,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4025
ETTh1,DLinear,test,3,MOGU,1,1,M,96,48,96,4021,cpvs,0.9015,1.7100,,1.4800,0.1,,unknown - run cannot be dated,,,0.381675,0.395708,1,0.9015,0.9015,1.7100,1.7100,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Adaptive CPVS Delayed,result_calibration_cpvs.txt,result_calibration_cpvs.txt,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,3,MOGU,1,1,M,96,48,96,4021,standard_cp,0.9028,1.9380,,0.9690,0.1,,unknown - run cannot be dated,,,0.381675,0.395708,1,0.9028,0.9028,1.9380,1.9380,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Standard CP with Sliding Window,result_calibration_mse_cp.txt,result_calibration_mse_cp.txt,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4021
ETTh1,DLinear,test,3,MOGU,1,1,M,96,48,96,4022,aleatoric_only,0.9064,1.7937,,2.5126,0.1,1000,"code, run dated after 2026-01-22",,,0.386374,0.402427,1,0.9064,0.9064,1.7937,1.7937,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Aleatoric Only CP,logs/all_ett7.log,logs/all_ett7.log,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4022
ETTh1,DLinear,test,3,MOGU,1,1,M,96,48,96,4022,cpvs,0.9064,1.7890,,1.4676,0.1,1000,"code, run dated after 2026-01-22",,,0.386374,0.402427,1,0.9064,0.9064,1.7890,1.7890,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Adaptive CPVS (Delayed),logs/all_ett7.log,logs/all_ett7.log,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4022
ETTh1,DLinear,test,3,MOGU,1,1,M,96,48,96,4022,standard_cp,0.9062,1.9595,,0.9797,0.1,1000,"code, run dated after 2026-01-22",,,0.386374,0.402427,1,0.9062,0.9062,1.9595,1.9595,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Standard CP,logs/all_ett7.log,logs/all_ett7.log,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4022
ETTh1,DLinear,test,3,MOGU,1,1,M,96,48,96,4023,aleatoric_only,0.9064,1.7654,,2.5127,0.1,1000,"code, run dated after 2026-01-22",,,0.383621,0.398829,1,0.9064,0.9064,1.7654,1.7654,0,512,8,2,1,2048,2,4,1,timeF,True,test,0,Aleatoric Only CP,logs/all_ett7.log,logs/all_ett7.log,long_term_forecast_test_DLinear_ETTh1_ne3_pe1_ug1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0_seed4023
